model,benchmark,error_type,count,percentage
Llama/Llama3-2-3B,bigbench_hard,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,bigbench_hard,arithmetic_slip,0,0.0
Llama/Llama3-2-3B,bigbench_hard,unknown,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,drifting,55,46.2
Qwen/Qwen2-5-3B,bigbench_hard,distractor,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,negation,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,multi_hop,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,hallucination,9,7.6
Qwen/Qwen2-5-3B,bigbench_hard,format_correct_wrong_answer,52,43.7
Qwen/Qwen2-5-3B,bigbench_hard,off_topic,3,2.5
Qwen/Qwen2-5-3B,bigbench_hard,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,arithmetic_slip,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard,unknown,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,confidently_wrong,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,drifting,107,68.6
Qwen/Qwen2-math-1-5B,bigbench_hard,distractor,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,negation,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,multi_hop,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,hallucination,30,19.2
Qwen/Qwen2-math-1-5B,bigbench_hard,format_correct_wrong_answer,18,11.5
Qwen/Qwen2-math-1-5B,bigbench_hard,off_topic,1,0.6
Qwen/Qwen2-math-1-5B,bigbench_hard,premise_order_sensitivity,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,arithmetic_slip,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard,unknown,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,confidently_wrong,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,drifting,162,100.0
Gemma/Gemma3-1B,bigbench_hard_tracking,distractor,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,negation,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,multi_hop,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,hallucination,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,format_correct_wrong_answer,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,off_topic,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,premise_order_sensitivity,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,arithmetic_slip,0,0.0
Gemma/Gemma3-1B,bigbench_hard_tracking,unknown,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,confidently_wrong,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,drifting,27,100.0
Gemma/Gemma3-4B,bigbench_hard_tracking,distractor,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,negation,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,multi_hop,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,hallucination,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,format_correct_wrong_answer,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,off_topic,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,arithmetic_slip,0,0.0
Gemma/Gemma3-4B,bigbench_hard_tracking,unknown,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,confidently_wrong,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,drifting,103,98.1
Llama/Llama3-2-3B,bigbench_hard_tracking,distractor,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,negation,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,multi_hop,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,hallucination,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,format_correct_wrong_answer,2,1.9
Llama/Llama3-2-3B,bigbench_hard_tracking,off_topic,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,arithmetic_slip,0,0.0
Llama/Llama3-2-3B,bigbench_hard_tracking,unknown,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,drifting,124,97.6
Qwen/Qwen2-5-3B,bigbench_hard_tracking,distractor,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,negation,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,multi_hop,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,hallucination,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,format_correct_wrong_answer,3,2.4
Qwen/Qwen2-5-3B,bigbench_hard_tracking,off_topic,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,arithmetic_slip,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,unknown,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,drifting,117,94.4
Qwen/Qwen2-5-3B,bigbench_hard_tracking,distractor,1,0.8
Qwen/Qwen2-5-3B,bigbench_hard_tracking,negation,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,multi_hop,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,hallucination,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,format_correct_wrong_answer,6,4.8
Qwen/Qwen2-5-3B,bigbench_hard_tracking,off_topic,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,arithmetic_slip,0,0.0
Qwen/Qwen2-5-3B,bigbench_hard_tracking,unknown,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,confidently_wrong,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,drifting,147,97.4
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,distractor,1,0.7
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,negation,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,multi_hop,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,hallucination,2,1.3
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,format_correct_wrong_answer,1,0.7
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,off_topic,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,premise_order_sensitivity,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,arithmetic_slip,0,0.0
Qwen/Qwen2-math-1-5B,bigbench_hard_tracking,unknown,0,0.0
Gemma/Gemma3-4B,folio,confidently_wrong,0,0.0
Gemma/Gemma3-4B,folio,drifting,18,25.0
Gemma/Gemma3-4B,folio,distractor,12,16.7
Gemma/Gemma3-4B,folio,negation,18,25.0
Gemma/Gemma3-4B,folio,multi_hop,0,0.0
Gemma/Gemma3-4B,folio,hallucination,7,9.7
Gemma/Gemma3-4B,folio,format_correct_wrong_answer,17,23.6
Gemma/Gemma3-4B,folio,off_topic,0,0.0
Gemma/Gemma3-4B,folio,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,folio,arithmetic_slip,0,0.0
Gemma/Gemma3-4B,folio,unknown,0,0.0
Llama/Llama3-2-3B,folio,confidently_wrong,0,0.0
Llama/Llama3-2-3B,folio,drifting,4,3.7
Llama/Llama3-2-3B,folio,distractor,0,0.0
Llama/Llama3-2-3B,folio,negation,4,3.7
Llama/Llama3-2-3B,folio,multi_hop,0,0.0
Llama/Llama3-2-3B,folio,hallucination,3,2.8
Llama/Llama3-2-3B,folio,format_correct_wrong_answer,21,19.6
Llama/Llama3-2-3B,folio,off_topic,75,70.1
Llama/Llama3-2-3B,folio,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,folio,arithmetic_slip,0,0.0
Llama/Llama3-2-3B,folio,unknown,0,0.0
Qwen/Qwen2-5-3B,folio,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,folio,drifting,2,2.6
Qwen/Qwen2-5-3B,folio,distractor,3,3.9
Qwen/Qwen2-5-3B,folio,negation,5,6.5
Qwen/Qwen2-5-3B,folio,multi_hop,0,0.0
Qwen/Qwen2-5-3B,folio,hallucination,11,14.3
Qwen/Qwen2-5-3B,folio,format_correct_wrong_answer,43,55.8
Qwen/Qwen2-5-3B,folio,off_topic,12,15.6
Qwen/Qwen2-5-3B,folio,premise_order_sensitivity,1,1.3
Qwen/Qwen2-5-3B,folio,arithmetic_slip,0,0.0
Qwen/Qwen2-5-3B,folio,unknown,0,0.0
Qwen/Qwen2-5-3B,folio,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,folio,drifting,2,2.6
Qwen/Qwen2-5-3B,folio,distractor,3,3.9
Qwen/Qwen2-5-3B,folio,negation,5,6.5
Qwen/Qwen2-5-3B,folio,multi_hop,0,0.0
Qwen/Qwen2-5-3B,folio,hallucination,11,14.3
Qwen/Qwen2-5-3B,folio,format_correct_wrong_answer,43,55.8
Qwen/Qwen2-5-3B,folio,off_topic,12,15.6
Qwen/Qwen2-5-3B,folio,premise_order_sensitivity,1,1.3
Qwen/Qwen2-5-3B,folio,arithmetic_slip,0,0.0
Qwen/Qwen2-5-3B,folio,unknown,0,0.0
Gemma/Gemma3-1B,gsm8k,confidently_wrong,0,0.0
Gemma/Gemma3-1B,gsm8k,drifting,61,50.8
Gemma/Gemma3-1B,gsm8k,distractor,17,14.2
Gemma/Gemma3-1B,gsm8k,negation,2,1.7
Gemma/Gemma3-1B,gsm8k,multi_hop,0,0.0
Gemma/Gemma3-1B,gsm8k,hallucination,2,1.7
Gemma/Gemma3-1B,gsm8k,format_correct_wrong_answer,30,25.0
Gemma/Gemma3-1B,gsm8k,off_topic,0,0.0
Gemma/Gemma3-1B,gsm8k,premise_order_sensitivity,0,0.0
Gemma/Gemma3-1B,gsm8k,arithmetic_slip,8,6.7
Gemma/Gemma3-1B,gsm8k,unknown,0,0.0
Gemma/Gemma3-4B,gsm8k,confidently_wrong,0,0.0
Gemma/Gemma3-4B,gsm8k,drifting,21,50.0
Gemma/Gemma3-4B,gsm8k,distractor,0,0.0
Gemma/Gemma3-4B,gsm8k,negation,0,0.0
Gemma/Gemma3-4B,gsm8k,multi_hop,0,0.0
Gemma/Gemma3-4B,gsm8k,hallucination,2,4.8
Gemma/Gemma3-4B,gsm8k,format_correct_wrong_answer,19,45.2
Gemma/Gemma3-4B,gsm8k,off_topic,0,0.0
Gemma/Gemma3-4B,gsm8k,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,gsm8k,arithmetic_slip,0,0.0
Gemma/Gemma3-4B,gsm8k,unknown,0,0.0
Llama/Llama3-2-1-5B,gsm8k,confidently_wrong,0,0.0
Llama/Llama3-2-1-5B,gsm8k,drifting,37,37.4
Llama/Llama3-2-1-5B,gsm8k,distractor,13,13.1
Llama/Llama3-2-1-5B,gsm8k,negation,3,3.0
Llama/Llama3-2-1-5B,gsm8k,multi_hop,0,0.0
Llama/Llama3-2-1-5B,gsm8k,hallucination,6,6.1
Llama/Llama3-2-1-5B,gsm8k,format_correct_wrong_answer,33,33.3
Llama/Llama3-2-1-5B,gsm8k,off_topic,0,0.0
Llama/Llama3-2-1-5B,gsm8k,premise_order_sensitivity,0,0.0
Llama/Llama3-2-1-5B,gsm8k,arithmetic_slip,7,7.1
Llama/Llama3-2-1-5B,gsm8k,unknown,0,0.0
Llama/Llama3-2-3B,gsm8k,confidently_wrong,0,0.0
Llama/Llama3-2-3B,gsm8k,drifting,8,32.0
Llama/Llama3-2-3B,gsm8k,distractor,4,16.0
Llama/Llama3-2-3B,gsm8k,negation,1,4.0
Llama/Llama3-2-3B,gsm8k,multi_hop,0,0.0
Llama/Llama3-2-3B,gsm8k,hallucination,3,12.0
Llama/Llama3-2-3B,gsm8k,format_correct_wrong_answer,8,32.0
Llama/Llama3-2-3B,gsm8k,off_topic,0,0.0
Llama/Llama3-2-3B,gsm8k,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,gsm8k,arithmetic_slip,1,4.0
Llama/Llama3-2-3B,gsm8k,unknown,0,0.0
Qwen/Qwen2-5-3B,gsm8k,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,gsm8k,drifting,11,26.2
Qwen/Qwen2-5-3B,gsm8k,distractor,1,2.4
Qwen/Qwen2-5-3B,gsm8k,negation,1,2.4
Qwen/Qwen2-5-3B,gsm8k,multi_hop,0,0.0
Qwen/Qwen2-5-3B,gsm8k,hallucination,1,2.4
Qwen/Qwen2-5-3B,gsm8k,format_correct_wrong_answer,24,57.1
Qwen/Qwen2-5-3B,gsm8k,off_topic,0,0.0
Qwen/Qwen2-5-3B,gsm8k,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,gsm8k,arithmetic_slip,4,9.5
Qwen/Qwen2-5-3B,gsm8k,unknown,0,0.0
Qwen/Qwen2-5-3B,gsm8k,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,gsm8k,drifting,11,34.4
Qwen/Qwen2-5-3B,gsm8k,distractor,3,9.4
Qwen/Qwen2-5-3B,gsm8k,negation,1,3.1
Qwen/Qwen2-5-3B,gsm8k,multi_hop,0,0.0
Qwen/Qwen2-5-3B,gsm8k,hallucination,1,3.1
Qwen/Qwen2-5-3B,gsm8k,format_correct_wrong_answer,14,43.8
Qwen/Qwen2-5-3B,gsm8k,off_topic,0,0.0
Qwen/Qwen2-5-3B,gsm8k,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,gsm8k,arithmetic_slip,2,6.2
Qwen/Qwen2-5-3B,gsm8k,unknown,0,0.0
Qwen/Qwen2-math-1-5B,gsm8k,confidently_wrong,0,0.0
Qwen/Qwen2-math-1-5B,gsm8k,drifting,2,10.5
Qwen/Qwen2-math-1-5B,gsm8k,distractor,3,15.8
Qwen/Qwen2-math-1-5B,gsm8k,negation,0,0.0
Qwen/Qwen2-math-1-5B,gsm8k,multi_hop,0,0.0
Qwen/Qwen2-math-1-5B,gsm8k,hallucination,4,21.1
Qwen/Qwen2-math-1-5B,gsm8k,format_correct_wrong_answer,8,42.1
Qwen/Qwen2-math-1-5B,gsm8k,off_topic,0,0.0
Qwen/Qwen2-math-1-5B,gsm8k,premise_order_sensitivity,0,0.0
Qwen/Qwen2-math-1-5B,gsm8k,arithmetic_slip,2,10.5
Qwen/Qwen2-math-1-5B,gsm8k,unknown,0,0.0
Gemma/Gemma3-1B,gsm_ic,confidently_wrong,0,0.0
Gemma/Gemma3-1B,gsm_ic,drifting,54,41.9
Gemma/Gemma3-1B,gsm_ic,distractor,10,7.8
Gemma/Gemma3-1B,gsm_ic,negation,3,2.3
Gemma/Gemma3-1B,gsm_ic,multi_hop,0,0.0
Gemma/Gemma3-1B,gsm_ic,hallucination,0,0.0
Gemma/Gemma3-1B,gsm_ic,format_correct_wrong_answer,45,34.9
Gemma/Gemma3-1B,gsm_ic,off_topic,0,0.0
Gemma/Gemma3-1B,gsm_ic,premise_order_sensitivity,0,0.0
Gemma/Gemma3-1B,gsm_ic,arithmetic_slip,17,13.2
Gemma/Gemma3-1B,gsm_ic,unknown,0,0.0
Gemma/Gemma3-4B,gsm_ic,confidently_wrong,0,0.0
Gemma/Gemma3-4B,gsm_ic,drifting,19,40.4
Gemma/Gemma3-4B,gsm_ic,distractor,3,6.4
Gemma/Gemma3-4B,gsm_ic,negation,1,2.1
Gemma/Gemma3-4B,gsm_ic,multi_hop,0,0.0
Gemma/Gemma3-4B,gsm_ic,hallucination,4,8.5
Gemma/Gemma3-4B,gsm_ic,format_correct_wrong_answer,18,38.3
Gemma/Gemma3-4B,gsm_ic,off_topic,0,0.0
Gemma/Gemma3-4B,gsm_ic,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,gsm_ic,arithmetic_slip,2,4.3
Gemma/Gemma3-4B,gsm_ic,unknown,0,0.0
Llama/Llama3-2-1-5B,gsm_ic,confidently_wrong,0,0.0
Llama/Llama3-2-1-5B,gsm_ic,drifting,46,42.6
Llama/Llama3-2-1-5B,gsm_ic,distractor,12,11.1
Llama/Llama3-2-1-5B,gsm_ic,negation,3,2.8
Llama/Llama3-2-1-5B,gsm_ic,multi_hop,0,0.0
Llama/Llama3-2-1-5B,gsm_ic,hallucination,6,5.6
Llama/Llama3-2-1-5B,gsm_ic,format_correct_wrong_answer,34,31.5
Llama/Llama3-2-1-5B,gsm_ic,off_topic,0,0.0
Llama/Llama3-2-1-5B,gsm_ic,premise_order_sensitivity,0,0.0
Llama/Llama3-2-1-5B,gsm_ic,arithmetic_slip,7,6.5
Llama/Llama3-2-1-5B,gsm_ic,unknown,0,0.0
Llama/Llama3-2-3B,gsm_ic,confidently_wrong,0,0.0
Llama/Llama3-2-3B,gsm_ic,drifting,15,40.5
Llama/Llama3-2-3B,gsm_ic,distractor,2,5.4
Llama/Llama3-2-3B,gsm_ic,negation,2,5.4
Llama/Llama3-2-3B,gsm_ic,multi_hop,0,0.0
Llama/Llama3-2-3B,gsm_ic,hallucination,5,13.5
Llama/Llama3-2-3B,gsm_ic,format_correct_wrong_answer,12,32.4
Llama/Llama3-2-3B,gsm_ic,off_topic,0,0.0
Llama/Llama3-2-3B,gsm_ic,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,gsm_ic,arithmetic_slip,1,2.7
Llama/Llama3-2-3B,gsm_ic,unknown,0,0.0
Qwen/Qwen2-5-3B,gsm_ic,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,gsm_ic,drifting,17,43.6
Qwen/Qwen2-5-3B,gsm_ic,distractor,1,2.6
Qwen/Qwen2-5-3B,gsm_ic,negation,0,0.0
Qwen/Qwen2-5-3B,gsm_ic,multi_hop,0,0.0
Qwen/Qwen2-5-3B,gsm_ic,hallucination,3,7.7
Qwen/Qwen2-5-3B,gsm_ic,format_correct_wrong_answer,17,43.6
Qwen/Qwen2-5-3B,gsm_ic,off_topic,0,0.0
Qwen/Qwen2-5-3B,gsm_ic,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,gsm_ic,arithmetic_slip,1,2.6
Qwen/Qwen2-5-3B,gsm_ic,unknown,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,confidently_wrong,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,drifting,10,38.5
Qwen/Qwen2-math-1-5B,gsm_ic,distractor,3,11.5
Qwen/Qwen2-math-1-5B,gsm_ic,negation,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,multi_hop,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,hallucination,2,7.7
Qwen/Qwen2-math-1-5B,gsm_ic,format_correct_wrong_answer,11,42.3
Qwen/Qwen2-math-1-5B,gsm_ic,off_topic,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,premise_order_sensitivity,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,arithmetic_slip,0,0.0
Qwen/Qwen2-math-1-5B,gsm_ic,unknown,0,0.0
Gemma/Gemma3-1B,gsm_plus,confidently_wrong,0,0.0
Gemma/Gemma3-1B,gsm_plus,drifting,76,47.8
Gemma/Gemma3-1B,gsm_plus,distractor,16,10.1
Gemma/Gemma3-1B,gsm_plus,negation,10,6.3
Gemma/Gemma3-1B,gsm_plus,multi_hop,0,0.0
Gemma/Gemma3-1B,gsm_plus,hallucination,6,3.8
Gemma/Gemma3-1B,gsm_plus,format_correct_wrong_answer,36,22.6
Gemma/Gemma3-1B,gsm_plus,off_topic,0,0.0
Gemma/Gemma3-1B,gsm_plus,premise_order_sensitivity,0,0.0
Gemma/Gemma3-1B,gsm_plus,arithmetic_slip,15,9.4
Gemma/Gemma3-1B,gsm_plus,unknown,0,0.0
Gemma/Gemma3-4B,gsm_plus,confidently_wrong,0,0.0
Gemma/Gemma3-4B,gsm_plus,drifting,22,24.7
Gemma/Gemma3-4B,gsm_plus,distractor,12,13.5
Gemma/Gemma3-4B,gsm_plus,negation,7,7.9
Gemma/Gemma3-4B,gsm_plus,multi_hop,0,0.0
Gemma/Gemma3-4B,gsm_plus,hallucination,21,23.6
Gemma/Gemma3-4B,gsm_plus,format_correct_wrong_answer,23,25.8
Gemma/Gemma3-4B,gsm_plus,off_topic,0,0.0
Gemma/Gemma3-4B,gsm_plus,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,gsm_plus,arithmetic_slip,4,4.5
Gemma/Gemma3-4B,gsm_plus,unknown,0,0.0
Llama/Llama3-2-1-5B,gsm_plus,confidently_wrong,0,0.0
Llama/Llama3-2-1-5B,gsm_plus,drifting,66,41.0
Llama/Llama3-2-1-5B,gsm_plus,distractor,18,11.2
Llama/Llama3-2-1-5B,gsm_plus,negation,7,4.3
Llama/Llama3-2-1-5B,gsm_plus,multi_hop,0,0.0
Llama/Llama3-2-1-5B,gsm_plus,hallucination,27,16.8
Llama/Llama3-2-1-5B,gsm_plus,format_correct_wrong_answer,37,23.0
Llama/Llama3-2-1-5B,gsm_plus,off_topic,0,0.0
Llama/Llama3-2-1-5B,gsm_plus,premise_order_sensitivity,0,0.0
Llama/Llama3-2-1-5B,gsm_plus,arithmetic_slip,6,3.7
Llama/Llama3-2-1-5B,gsm_plus,unknown,0,0.0
Llama/Llama3-2-3B,gsm_plus,confidently_wrong,0,0.0
Llama/Llama3-2-3B,gsm_plus,drifting,37,33.6
Llama/Llama3-2-3B,gsm_plus,distractor,13,11.8
Llama/Llama3-2-3B,gsm_plus,negation,7,6.4
Llama/Llama3-2-3B,gsm_plus,multi_hop,0,0.0
Llama/Llama3-2-3B,gsm_plus,hallucination,24,21.8
Llama/Llama3-2-3B,gsm_plus,format_correct_wrong_answer,27,24.5
Llama/Llama3-2-3B,gsm_plus,off_topic,1,0.9
Llama/Llama3-2-3B,gsm_plus,premise_order_sensitivity,0,0.0
Llama/Llama3-2-3B,gsm_plus,arithmetic_slip,1,0.9
Llama/Llama3-2-3B,gsm_plus,unknown,0,0.0
Qwen/Qwen2-5-3B,gsm_plus,confidently_wrong,0,0.0
Qwen/Qwen2-5-3B,gsm_plus,drifting,35,30.2
Qwen/Qwen2-5-3B,gsm_plus,distractor,12,10.3
Qwen/Qwen2-5-3B,gsm_plus,negation,4,3.4
Qwen/Qwen2-5-3B,gsm_plus,multi_hop,0,0.0
Qwen/Qwen2-5-3B,gsm_plus,hallucination,12,10.3
Qwen/Qwen2-5-3B,gsm_plus,format_correct_wrong_answer,44,37.9
Qwen/Qwen2-5-3B,gsm_plus,off_topic,0,0.0
Qwen/Qwen2-5-3B,gsm_plus,premise_order_sensitivity,0,0.0
Qwen/Qwen2-5-3B,gsm_plus,arithmetic_slip,9,7.8
Qwen/Qwen2-5-3B,gsm_plus,unknown,0,0.0
Qwen/Qwen2-math-1-5B,gsm_plus,confidently_wrong,0,0.0
Qwen/Qwen2-math-1-5B,gsm_plus,drifting,32,33.3
Qwen/Qwen2-math-1-5B,gsm_plus,distractor,14,14.6
Qwen/Qwen2-math-1-5B,gsm_plus,negation,6,6.2
Qwen/Qwen2-math-1-5B,gsm_plus,multi_hop,0,0.0
Qwen/Qwen2-math-1-5B,gsm_plus,hallucination,21,21.9
Qwen/Qwen2-math-1-5B,gsm_plus,format_correct_wrong_answer,16,16.7
Qwen/Qwen2-math-1-5B,gsm_plus,off_topic,0,0.0
Qwen/Qwen2-math-1-5B,gsm_plus,premise_order_sensitivity,0,0.0
Qwen/Qwen2-math-1-5B,gsm_plus,arithmetic_slip,7,7.3
Qwen/Qwen2-math-1-5B,gsm_plus,unknown,0,0.0
Gemma/Gemma3-1B,gsm_symbolic,confidently_wrong,0,0.0
Gemma/Gemma3-1B,gsm_symbolic,drifting,51,31.3
Gemma/Gemma3-1B,gsm_symbolic,distractor,35,21.5
Gemma/Gemma3-1B,gsm_symbolic,negation,0,0.0
Gemma/Gemma3-1B,gsm_symbolic,multi_hop,0,0.0
Gemma/Gemma3-1B,gsm_symbolic,hallucination,15,9.2
Gemma/Gemma3-1B,gsm_symbolic,format_correct_wrong_answer,42,25.8
Gemma/Gemma3-1B,gsm_symbolic,off_topic,0,0.0
Gemma/Gemma3-1B,gsm_symbolic,premise_order_sensitivity,0,0.0
Gemma/Gemma3-1B,gsm_symbolic,arithmetic_slip,20,12.3
Gemma/Gemma3-1B,gsm_symbolic,unknown,0,0.0
Gemma/Gemma3-4B,gsm_symbolic,confidently_wrong,0,0.0
