family,benchmark,baseline_condition,condition,error_type,n_baseline_failures,recovered,recovery_rate
gemma,bigbench_hard,zero_shot_baseline,zero_shot,format_correct_wrong_answer,7,5,0.7142857142857143
gemma,bigbench_hard,zero_shot_baseline,zero_shot,multi_hop,2,0,0.0
gemma,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl,drifting,168,9,0.05357142857142857
gemma,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl_correct_only,drifting,168,12,0.07142857142857142
gemma,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl_random,drifting,168,7,0.041666666666666664
gemma,bigbench_hard_tracking,zero_shot_baseline,random_few_shot,drifting,168,24,0.14285714285714285
gemma,bigbench_hard_tracking,zero_shot_baseline,self_consistency,drifting,168,11,0.06547619047619048
gemma,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot,drifting,168,0,0.0
gemma,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot_answer_only,drifting,168,11,0.06547619047619048
gemma,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot_k5,drifting,168,0,0.0
gemma,bigbench_hard_tracking,zero_shot_baseline,zero_shot,drifting,168,12,0.07142857142857142
gemma,folio,zero_shot_baseline,error_targeted_icl,drifting,36,12,0.3333333333333333
gemma,folio,zero_shot_baseline,error_targeted_icl,format_correct_wrong_answer,41,25,0.6097560975609756
gemma,folio,zero_shot_baseline,error_targeted_icl,off_topic,8,3,0.375
gemma,folio,zero_shot_baseline,error_targeted_icl,distractor,12,4,0.3333333333333333
gemma,folio,zero_shot_baseline,error_targeted_icl,negation,2,0,0.0
gemma,folio,zero_shot_baseline,error_targeted_icl,premise_order_sensitivity,2,1,0.5
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,drifting,36,12,0.3333333333333333
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,format_correct_wrong_answer,41,27,0.6585365853658537
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,off_topic,8,3,0.375
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,distractor,12,5,0.4166666666666667
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,negation,2,0,0.0
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,premise_order_sensitivity,2,1,0.5
gemma,folio,zero_shot_baseline,error_targeted_icl_random,drifting,36,10,0.2777777777777778
gemma,folio,zero_shot_baseline,error_targeted_icl_random,format_correct_wrong_answer,41,26,0.6341463414634146
gemma,folio,zero_shot_baseline,error_targeted_icl_random,off_topic,8,3,0.375
gemma,folio,zero_shot_baseline,error_targeted_icl_random,distractor,12,5,0.4166666666666667
gemma,folio,zero_shot_baseline,error_targeted_icl_random,negation,2,0,0.0
gemma,folio,zero_shot_baseline,error_targeted_icl_random,premise_order_sensitivity,2,1,0.5
gemma,folio,zero_shot_baseline,random_few_shot,drifting,36,15,0.4166666666666667
gemma,folio,zero_shot_baseline,random_few_shot,format_correct_wrong_answer,41,8,0.1951219512195122
gemma,folio,zero_shot_baseline,random_few_shot,off_topic,8,2,0.25
gemma,folio,zero_shot_baseline,random_few_shot,distractor,12,2,0.16666666666666666
gemma,folio,zero_shot_baseline,random_few_shot,negation,2,2,1.0
gemma,folio,zero_shot_baseline,random_few_shot,premise_order_sensitivity,2,1,0.5
gemma,folio,zero_shot_baseline,self_consistency,drifting,36,7,0.19444444444444445
gemma,folio,zero_shot_baseline,self_consistency,format_correct_wrong_answer,41,19,0.4634146341463415
gemma,folio,zero_shot_baseline,self_consistency,off_topic,8,5,0.625
gemma,folio,zero_shot_baseline,self_consistency,distractor,12,5,0.4166666666666667
gemma,folio,zero_shot_baseline,self_consistency,negation,2,0,0.0
gemma,folio,zero_shot_baseline,self_consistency,premise_order_sensitivity,2,0,0.0
gemma,folio,zero_shot_baseline,targeted_few_shot,drifting,36,8,0.2222222222222222
gemma,folio,zero_shot_baseline,targeted_few_shot,format_correct_wrong_answer,41,25,0.6097560975609756
gemma,folio,zero_shot_baseline,targeted_few_shot,off_topic,8,3,0.375
gemma,folio,zero_shot_baseline,targeted_few_shot,distractor,12,4,0.3333333333333333
gemma,folio,zero_shot_baseline,targeted_few_shot,negation,2,0,0.0
gemma,folio,zero_shot_baseline,targeted_few_shot,premise_order_sensitivity,2,1,0.5
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,drifting,36,10,0.2777777777777778
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,format_correct_wrong_answer,41,24,0.5853658536585366
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,off_topic,8,2,0.25
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,distractor,12,5,0.4166666666666667
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,negation,2,0,0.0
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,premise_order_sensitivity,2,1,0.5
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,drifting,36,8,0.2222222222222222
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,format_correct_wrong_answer,41,25,0.6097560975609756
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,off_topic,8,3,0.375
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,distractor,12,4,0.3333333333333333
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,negation,2,0,0.0
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,premise_order_sensitivity,2,0,0.0
gemma,folio,zero_shot_baseline,zero_shot,drifting,36,15,0.4166666666666667
gemma,folio,zero_shot_baseline,zero_shot,format_correct_wrong_answer,41,17,0.4146341463414634
gemma,folio,zero_shot_baseline,zero_shot,off_topic,8,5,0.625
gemma,folio,zero_shot_baseline,zero_shot,distractor,12,4,0.3333333333333333
gemma,folio,zero_shot_baseline,zero_shot,negation,2,0,0.0
gemma,folio,zero_shot_baseline,zero_shot,premise_order_sensitivity,2,0,0.0
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,arithmetic_slip,20,3,0.15
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,drifting,97,8,0.08247422680412371
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,off_topic,16,1,0.0625
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,format_correct_wrong_answer,36,4,0.1111111111111111
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,distractor,13,0,0.0
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,negation,7,0,0.0
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,arithmetic_slip,20,4,0.2
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,drifting,97,26,0.26804123711340205
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,off_topic,16,3,0.1875
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,format_correct_wrong_answer,36,14,0.3888888888888889
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,distractor,13,1,0.07692307692307693
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,negation,7,2,0.2857142857142857
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,arithmetic_slip,20,1,0.05
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,drifting,97,12,0.12371134020618557
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,off_topic,16,0,0.0
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,format_correct_wrong_answer,36,3,0.08333333333333333
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,distractor,13,0,0.0
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,negation,7,0,0.0
gemma,gsm8k,zero_shot_baseline,random_few_shot,arithmetic_slip,20,5,0.25
gemma,gsm8k,zero_shot_baseline,random_few_shot,drifting,97,30,0.30927835051546393
gemma,gsm8k,zero_shot_baseline,random_few_shot,off_topic,16,1,0.0625
gemma,gsm8k,zero_shot_baseline,random_few_shot,format_correct_wrong_answer,36,11,0.3055555555555556
gemma,gsm8k,zero_shot_baseline,random_few_shot,distractor,13,1,0.07692307692307693
gemma,gsm8k,zero_shot_baseline,random_few_shot,negation,7,3,0.42857142857142855
gemma,gsm8k,zero_shot_baseline,self_consistency,arithmetic_slip,20,2,0.1
gemma,gsm8k,zero_shot_baseline,self_consistency,drifting,97,21,0.21649484536082475
gemma,gsm8k,zero_shot_baseline,self_consistency,off_topic,16,4,0.25
gemma,gsm8k,zero_shot_baseline,self_consistency,format_correct_wrong_answer,36,12,0.3333333333333333
gemma,gsm8k,zero_shot_baseline,self_consistency,distractor,13,1,0.07692307692307693
gemma,gsm8k,zero_shot_baseline,self_consistency,negation,7,2,0.2857142857142857
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,arithmetic_slip,20,3,0.15
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,drifting,97,23,0.23711340206185566
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,off_topic,16,1,0.0625
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,format_correct_wrong_answer,36,9,0.25
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,distractor,13,0,0.0
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,negation,7,0,0.0
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,arithmetic_slip,20,4,0.2
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,drifting,97,20,0.20618556701030927
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,off_topic,16,4,0.25
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,format_correct_wrong_answer,36,12,0.3333333333333333
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,distractor,13,2,0.15384615384615385
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,negation,7,1,0.14285714285714285
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,arithmetic_slip,20,4,0.2
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,drifting,97,15,0.15463917525773196
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,off_topic,16,1,0.0625
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,format_correct_wrong_answer,36,8,0.2222222222222222
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,distractor,13,1,0.07692307692307693
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,negation,7,1,0.14285714285714285
gemma,gsm8k,zero_shot_baseline,zero_shot,arithmetic_slip,20,4,0.2
gemma,gsm8k,zero_shot_baseline,zero_shot,drifting,97,21,0.21649484536082475
gemma,gsm8k,zero_shot_baseline,zero_shot,off_topic,16,2,0.125
gemma,gsm8k,zero_shot_baseline,zero_shot,format_correct_wrong_answer,36,12,0.3333333333333333
gemma,gsm8k,zero_shot_baseline,zero_shot,distractor,13,0,0.0
gemma,gsm8k,zero_shot_baseline,zero_shot,negation,7,1,0.14285714285714285
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,drifting,96,4,0.041666666666666664
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,format_correct_wrong_answer,37,3,0.08108108108108109
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,arithmetic_slip,18,0,0.0
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,distractor,19,2,0.10526315789473684
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,off_topic,12,1,0.08333333333333333
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,drifting,96,19,0.19791666666666666
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,format_correct_wrong_answer,37,18,0.4864864864864865
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,arithmetic_slip,18,4,0.2222222222222222
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,distractor,19,5,0.2631578947368421
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,negation,5,2,0.4
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,off_topic,12,4,0.3333333333333333
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,drifting,96,5,0.052083333333333336
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,format_correct_wrong_answer,37,6,0.16216216216216217
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,arithmetic_slip,18,0,0.0
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,distractor,19,1,0.05263157894736842
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,off_topic,12,1,0.08333333333333333
gemma,gsm_ic,zero_shot_baseline,random_few_shot,drifting,96,18,0.1875
gemma,gsm_ic,zero_shot_baseline,random_few_shot,format_correct_wrong_answer,37,18,0.4864864864864865
gemma,gsm_ic,zero_shot_baseline,random_few_shot,arithmetic_slip,18,4,0.2222222222222222
gemma,gsm_ic,zero_shot_baseline,random_few_shot,distractor,19,5,0.2631578947368421
gemma,gsm_ic,zero_shot_baseline,random_few_shot,negation,5,2,0.4
gemma,gsm_ic,zero_shot_baseline,random_few_shot,off_topic,12,1,0.08333333333333333
gemma,gsm_ic,zero_shot_baseline,self_consistency,drifting,96,13,0.13541666666666666
gemma,gsm_ic,zero_shot_baseline,self_consistency,format_correct_wrong_answer,37,15,0.40540540540540543
gemma,gsm_ic,zero_shot_baseline,self_consistency,arithmetic_slip,18,4,0.2222222222222222
gemma,gsm_ic,zero_shot_baseline,self_consistency,distractor,19,5,0.2631578947368421
gemma,gsm_ic,zero_shot_baseline,self_consistency,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,self_consistency,off_topic,12,2,0.16666666666666666
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,drifting,96,12,0.125
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,format_correct_wrong_answer,37,12,0.32432432432432434
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,arithmetic_slip,18,2,0.1111111111111111
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,distractor,19,2,0.10526315789473684
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,off_topic,12,0,0.0
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,drifting,96,19,0.19791666666666666
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,format_correct_wrong_answer,37,12,0.32432432432432434
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,arithmetic_slip,18,3,0.16666666666666666
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,distractor,19,3,0.15789473684210525
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,off_topic,12,1,0.08333333333333333
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,drifting,96,13,0.13541666666666666
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,format_correct_wrong_answer,37,12,0.32432432432432434
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,arithmetic_slip,18,3,0.16666666666666666
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,distractor,19,2,0.10526315789473684
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,off_topic,12,0,0.0
gemma,gsm_ic,zero_shot_baseline,zero_shot,drifting,96,9,0.09375
gemma,gsm_ic,zero_shot_baseline,zero_shot,format_correct_wrong_answer,37,14,0.3783783783783784
gemma,gsm_ic,zero_shot_baseline,zero_shot,arithmetic_slip,18,3,0.16666666666666666
gemma,gsm_ic,zero_shot_baseline,zero_shot,distractor,19,4,0.21052631578947367
gemma,gsm_ic,zero_shot_baseline,zero_shot,negation,5,0,0.0
gemma,gsm_ic,zero_shot_baseline,zero_shot,off_topic,12,2,0.16666666666666666
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,distractor,14,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,drifting,88,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,arithmetic_slip,15,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,negation,16,1,0.0625
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,format_correct_wrong_answer,29,3,0.10344827586206896
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,hallucination,3,1,0.3333333333333333
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,distractor,14,1,0.07142857142857142
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,drifting,88,6,0.06818181818181818
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,arithmetic_slip,15,1,0.06666666666666667
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,negation,16,1,0.0625
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,format_correct_wrong_answer,29,5,0.1724137931034483
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,distractor,14,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,drifting,88,3,0.03409090909090909
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,arithmetic_slip,15,1,0.06666666666666667
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,negation,16,1,0.0625
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,format_correct_wrong_answer,29,3,0.10344827586206896
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,random_few_shot,distractor,14,1,0.07142857142857142
gemma,gsm_plus,zero_shot_baseline,random_few_shot,drifting,88,10,0.11363636363636363
gemma,gsm_plus,zero_shot_baseline,random_few_shot,arithmetic_slip,15,0,0.0
gemma,gsm_plus,zero_shot_baseline,random_few_shot,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,random_few_shot,negation,16,0,0.0
gemma,gsm_plus,zero_shot_baseline,random_few_shot,format_correct_wrong_answer,29,3,0.10344827586206896
gemma,gsm_plus,zero_shot_baseline,random_few_shot,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,self_consistency,distractor,14,3,0.21428571428571427
gemma,gsm_plus,zero_shot_baseline,self_consistency,drifting,88,9,0.10227272727272728
gemma,gsm_plus,zero_shot_baseline,self_consistency,arithmetic_slip,15,0,0.0
gemma,gsm_plus,zero_shot_baseline,self_consistency,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,self_consistency,negation,16,0,0.0
gemma,gsm_plus,zero_shot_baseline,self_consistency,format_correct_wrong_answer,29,6,0.20689655172413793
gemma,gsm_plus,zero_shot_baseline,self_consistency,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,distractor,14,1,0.07142857142857142
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,drifting,88,3,0.03409090909090909
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,arithmetic_slip,15,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,negation,16,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,format_correct_wrong_answer,29,3,0.10344827586206896
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,distractor,14,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,drifting,88,7,0.07954545454545454
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,arithmetic_slip,15,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,negation,16,1,0.0625
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,format_correct_wrong_answer,29,7,0.2413793103448276
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,distractor,14,1,0.07142857142857142
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,drifting,88,5,0.056818181818181816
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,arithmetic_slip,15,1,0.06666666666666667
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,negation,16,1,0.0625
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,format_correct_wrong_answer,29,2,0.06896551724137931
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,hallucination,3,0,0.0
gemma,gsm_plus,zero_shot_baseline,zero_shot,distractor,14,2,0.14285714285714285
gemma,gsm_plus,zero_shot_baseline,zero_shot,drifting,88,5,0.056818181818181816
gemma,gsm_plus,zero_shot_baseline,zero_shot,arithmetic_slip,15,0,0.0
gemma,gsm_plus,zero_shot_baseline,zero_shot,off_topic,1,0,0.0
gemma,gsm_plus,zero_shot_baseline,zero_shot,negation,16,1,0.0625
gemma,gsm_plus,zero_shot_baseline,zero_shot,format_correct_wrong_answer,29,6,0.20689655172413793
gemma,gsm_plus,zero_shot_baseline,zero_shot,hallucination,3,0,0.0
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl,drifting,30,0,0.0
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl,distractor,4,0,0.0
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl,arithmetic_slip,89,2,0.02247191011235955
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl,format_correct_wrong_answer,23,1,0.043478260869565216
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl,hallucination,1,0,0.0
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,drifting,30,4,0.13333333333333333
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,distractor,4,0,0.0
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,arithmetic_slip,89,4,0.0449438202247191
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,format_correct_wrong_answer,23,1,0.043478260869565216
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,hallucination,1,1,1.0
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_random,drifting,30,2,0.06666666666666667
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_random,distractor,4,1,0.25
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_random,arithmetic_slip,89,2,0.02247191011235955
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_random,format_correct_wrong_answer,23,3,0.13043478260869565
