family,model,hf_model_id,benchmark,condition,n,correct,accuracy,result_file
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,targeted_few_shot_k5,200,144,0.72,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__targeted_few_shot_k5__20260522_073349__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0734.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,error_targeted_icl,200,122,0.61,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__error_targeted_icl__20260522_085255__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0853.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,error_targeted_icl_random,200,107,0.535,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__error_targeted_icl_random__20260522_095824__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0958.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,error_targeted_icl_correct_only,200,118,0.59,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__error_targeted_icl_correct_only__20260522_110606__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_1106.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,self_consistency,200,148,0.74,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__self_consistency__20260522_120906__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_1209.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,zero_shot_baseline,200,161,0.805,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__zero_shot_baseline__20260522_184813__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260522_1848.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,zero_shot,200,125,0.625,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__zero_shot__20260522_195531__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260522_1955.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,targeted_few_shot_answer_only,200,144,0.72,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__targeted_few_shot_answer_only__20260522_211504__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260522_2115.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,random_few_shot,200,161,0.805,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__random_few_shot__20260522_222414__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260522_2224.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,targeted_few_shot,200,126,0.63,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__targeted_few_shot__20260522_232811__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260522_2328.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,targeted_few_shot_k5,200,134,0.67,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__targeted_few_shot_k5__20260523_003527__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260523_0035.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,error_targeted_icl,200,153,0.765,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__error_targeted_icl__20260523_014144__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260523_0142.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,error_targeted_icl_random,200,144,0.72,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__error_targeted_icl_random__20260523_031401__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260523_0314.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,error_targeted_icl_correct_only,200,129,0.645,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__error_targeted_icl_correct_only__20260523_043130__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260523_0431.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard_tracking,self_consistency,200,137,0.685,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard_tracking__self_consistency__20260523_053518__bigbench_hard_tracking__Qwen_Qwen2-5-7B-Instruct__bigbench_hard_tracking__20260523_0535.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,zero_shot_baseline,200,72,0.36,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__zero_shot_baseline__20260523_122735__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1228.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,zero_shot,200,120,0.6,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__zero_shot__20260523_124425__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1244.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,targeted_few_shot_answer_only,200,169,0.845,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__targeted_few_shot_answer_only__20260523_134039__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1341.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,random_few_shot,200,190,0.95,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__random_few_shot__20260523_142645__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1427.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,targeted_few_shot,200,148,0.74,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__targeted_few_shot__20260523_151410__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1514.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,targeted_few_shot_k5,200,152,0.76,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__targeted_few_shot_k5__20260523_160546__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1606.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,error_targeted_icl,200,183,0.915,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__error_targeted_icl__20260523_165430__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1654.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,error_targeted_icl_random,200,187,0.935,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__error_targeted_icl_random__20260523_174443__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1745.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,error_targeted_icl_correct_only,200,185,0.925,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__error_targeted_icl_correct_only__20260523_183314__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1833.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm8k,self_consistency,200,131,0.655,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm8k__self_consistency__20260523_191817__gsm8k__Qwen_Qwen2-5-7B-Instruct__gsm8k__20260523_1918.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,zero_shot_baseline,183,133,0.726775956284153,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__zero_shot_baseline__20260524_000141__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_0002.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,zero_shot,183,125,0.6830601092896175,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__zero_shot__20260524_005723__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_0057.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,targeted_few_shot_answer_only,183,124,0.6775956284153005,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__targeted_few_shot_answer_only__20260524_020814__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_0208.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,random_few_shot,183,131,0.7158469945355191,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__random_few_shot__20260524_124155__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_1242.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,targeted_few_shot,183,130,0.7103825136612022,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__targeted_few_shot__20260524_134319__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_1343.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,targeted_few_shot_k5,183,131,0.7158469945355191,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__targeted_few_shot_k5__20260524_150932__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_1509.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,error_targeted_icl,183,133,0.726775956284153,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__error_targeted_icl__20260524_163432__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_1634.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,error_targeted_icl_random,183,135,0.7377049180327869,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__error_targeted_icl_random__20260524_174400__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_1744.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,error_targeted_icl_correct_only,183,134,0.73224043715847,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__error_targeted_icl_correct_only__20260524_185210__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_1852.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,folio,self_consistency,183,126,0.6885245901639344,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__folio__self_consistency__20260524_200712__folio__Qwen_Qwen2-5-7B-Instruct__folio__20260524_2007.json
gemma,google/gemma-7b-it,google/gemma-7b-it,gsm_symbolic,zero_shot_baseline,200,53,0.265,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/gemma__gsm_symbolic__zero_shot_baseline__20260525_135853__gsm_symbolic__google_gemma-7b-it__gsm_symbolic__20260525_1400.json
gemma,google/gemma-7b-it,google/gemma-7b-it,gsm_symbolic,zero_shot,200,37,0.185,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/gemma__gsm_symbolic__zero_shot__20260525_143156__gsm_symbolic__google_gemma-7b-it__gsm_symbolic__20260525_1432.json
gemma,google/gemma-7b-it,google/gemma-7b-it,gsm_symbolic,targeted_few_shot_answer_only,200,21,0.105,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/gemma__gsm_symbolic__targeted_few_shot_answer_only__20260525_151904__gsm_symbolic__google_gemma-7b-it__gsm_symbolic__20260525_1519.json
gemma,google/gemma-7b-it,google/gemma-7b-it,gsm_symbolic,random_few_shot,200,9,0.045,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/gemma__gsm_symbolic__random_few_shot__20260525_155421__gsm_symbolic__google_gemma-7b-it__gsm_symbolic__20260525_1554.json
gemma,google/gemma-7b-it,google/gemma-7b-it,gsm_symbolic,targeted_few_shot,200,20,0.1,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/gemma__gsm_symbolic__targeted_few_shot__20260525_164521__gsm_symbolic__google_gemma-7b-it__gsm_symbolic__20260525_1645.json
