family,benchmark,condition,error_type,count,pct
qwen,gsm_plus,random_few_shot,arithmetic_slip,5,0.025
qwen,gsm_plus,targeted_few_shot,correct,106,0.53
qwen,gsm_plus,targeted_few_shot,drifting,25,0.125
qwen,gsm_plus,targeted_few_shot,hallucination,16,0.08
qwen,gsm_plus,targeted_few_shot,format_correct_wrong_answer,31,0.155
qwen,gsm_plus,targeted_few_shot,arithmetic_slip,9,0.045
qwen,gsm_plus,targeted_few_shot,negation,2,0.01
qwen,gsm_plus,targeted_few_shot,distractor,11,0.055
qwen,gsm_plus,targeted_few_shot_k5,distractor,13,0.065
qwen,gsm_plus,targeted_few_shot_k5,drifting,20,0.1
qwen,gsm_plus,targeted_few_shot_k5,hallucination,19,0.095
qwen,gsm_plus,targeted_few_shot_k5,correct,102,0.51
qwen,gsm_plus,targeted_few_shot_k5,arithmetic_slip,8,0.04
qwen,gsm_plus,targeted_few_shot_k5,format_correct_wrong_answer,33,0.165
qwen,gsm_plus,targeted_few_shot_k5,negation,5,0.025
qwen,gsm_plus,error_targeted_icl,distractor,9,0.045
qwen,gsm_plus,error_targeted_icl,drifting,27,0.135
qwen,gsm_plus,error_targeted_icl,correct,126,0.63
qwen,gsm_plus,error_targeted_icl,hallucination,14,0.07
qwen,gsm_plus,error_targeted_icl,negation,6,0.03
qwen,gsm_plus,error_targeted_icl,format_correct_wrong_answer,13,0.065
qwen,gsm_plus,error_targeted_icl,arithmetic_slip,5,0.025
qwen,gsm_plus,error_targeted_icl_random,correct,123,0.615
qwen,gsm_plus,error_targeted_icl_random,off_topic,1,0.005
qwen,gsm_plus,error_targeted_icl_random,drifting,25,0.125
qwen,gsm_plus,error_targeted_icl_random,format_correct_wrong_answer,17,0.085
qwen,gsm_plus,error_targeted_icl_random,hallucination,14,0.07
qwen,gsm_plus,error_targeted_icl_random,negation,3,0.015
qwen,gsm_plus,error_targeted_icl_random,arithmetic_slip,6,0.03
qwen,gsm_plus,error_targeted_icl_random,distractor,11,0.055
qwen,gsm_plus,error_targeted_icl_correct_only,distractor,10,0.05
qwen,gsm_plus,error_targeted_icl_correct_only,drifting,24,0.12
qwen,gsm_plus,error_targeted_icl_correct_only,hallucination,18,0.09
qwen,gsm_plus,error_targeted_icl_correct_only,correct,128,0.64
qwen,gsm_plus,error_targeted_icl_correct_only,negation,4,0.02
qwen,gsm_plus,error_targeted_icl_correct_only,format_correct_wrong_answer,13,0.065
qwen,gsm_plus,error_targeted_icl_correct_only,arithmetic_slip,3,0.015
qwen,gsm_plus,self_consistency,distractor,1,0.005
qwen,gsm_plus,self_consistency,off_topic,79,0.395
qwen,gsm_plus,self_consistency,confidently_wrong,21,0.105
qwen,gsm_plus,self_consistency,correct,75,0.375
qwen,gsm_plus,self_consistency,negation,8,0.04
qwen,gsm_plus,self_consistency,format_correct_wrong_answer,13,0.065
qwen,gsm_plus,self_consistency,multi_hop,3,0.015
qwen,gsm_ic,zero_shot_baseline,drifting,34,0.17
qwen,gsm_ic,zero_shot_baseline,correct,68,0.34
qwen,gsm_ic,zero_shot_baseline,format_correct_wrong_answer,45,0.225
qwen,gsm_ic,zero_shot_baseline,multi_hop,20,0.1
qwen,gsm_ic,zero_shot_baseline,confidently_wrong,22,0.11
qwen,gsm_ic,zero_shot_baseline,distractor,6,0.03
qwen,gsm_ic,zero_shot_baseline,negation,4,0.02
qwen,gsm_ic,zero_shot_baseline,arithmetic_slip,1,0.005
qwen,gsm_ic,zero_shot,correct,109,0.545
qwen,gsm_ic,zero_shot,format_correct_wrong_answer,79,0.395
qwen,gsm_ic,zero_shot,drifting,8,0.04
qwen,gsm_ic,zero_shot,distractor,2,0.01
qwen,gsm_ic,zero_shot,arithmetic_slip,2,0.01
qwen,gsm_ic,targeted_few_shot_answer_only,drifting,6,0.03
qwen,gsm_ic,targeted_few_shot_answer_only,correct,160,0.8
qwen,gsm_ic,targeted_few_shot_answer_only,format_correct_wrong_answer,23,0.115
qwen,gsm_ic,targeted_few_shot_answer_only,arithmetic_slip,3,0.015
qwen,gsm_ic,targeted_few_shot_answer_only,distractor,2,0.01
qwen,gsm_ic,targeted_few_shot_answer_only,hallucination,3,0.015
qwen,gsm_ic,targeted_few_shot_answer_only,off_topic,3,0.015
qwen,gsm_ic,random_few_shot,correct,186,0.93
qwen,gsm_ic,random_few_shot,hallucination,4,0.02
qwen,gsm_ic,random_few_shot,drifting,5,0.025
qwen,gsm_ic,random_few_shot,format_correct_wrong_answer,3,0.015
qwen,gsm_ic,random_few_shot,arithmetic_slip,2,0.01
qwen,gsm_ic,targeted_few_shot,correct,134,0.67
qwen,gsm_ic,targeted_few_shot,format_correct_wrong_answer,54,0.27
qwen,gsm_ic,targeted_few_shot,drifting,9,0.045
qwen,gsm_ic,targeted_few_shot,hallucination,2,0.01
qwen,gsm_ic,targeted_few_shot,arithmetic_slip,1,0.005
qwen,gsm_ic,targeted_few_shot_k5,correct,144,0.72
qwen,gsm_ic,targeted_few_shot_k5,format_correct_wrong_answer,43,0.215
qwen,gsm_ic,targeted_few_shot_k5,drifting,9,0.045
qwen,gsm_ic,targeted_few_shot_k5,distractor,1,0.005
qwen,gsm_ic,targeted_few_shot_k5,hallucination,2,0.01
qwen,gsm_ic,targeted_few_shot_k5,arithmetic_slip,1,0.005
qwen,gsm_ic,error_targeted_icl,correct,174,0.87
qwen,gsm_ic,error_targeted_icl,arithmetic_slip,3,0.015
qwen,gsm_ic,error_targeted_icl,format_correct_wrong_answer,14,0.07
qwen,gsm_ic,error_targeted_icl,drifting,6,0.03
qwen,gsm_ic,error_targeted_icl,hallucination,2,0.01
qwen,gsm_ic,error_targeted_icl,distractor,1,0.005
qwen,gsm_ic,error_targeted_icl_random,drifting,10,0.05
qwen,gsm_ic,error_targeted_icl_random,correct,174,0.87
qwen,gsm_ic,error_targeted_icl_random,format_correct_wrong_answer,12,0.06
qwen,gsm_ic,error_targeted_icl_random,arithmetic_slip,2,0.01
qwen,gsm_ic,error_targeted_icl_random,distractor,1,0.005
qwen,gsm_ic,error_targeted_icl_random,hallucination,1,0.005
qwen,gsm_ic,error_targeted_icl_correct_only,drifting,7,0.035
qwen,gsm_ic,error_targeted_icl_correct_only,correct,177,0.885
qwen,gsm_ic,error_targeted_icl_correct_only,arithmetic_slip,3,0.015
qwen,gsm_ic,error_targeted_icl_correct_only,format_correct_wrong_answer,11,0.055
qwen,gsm_ic,error_targeted_icl_correct_only,distractor,1,0.005
qwen,gsm_ic,error_targeted_icl_correct_only,hallucination,1,0.005
qwen,gsm_ic,self_consistency,correct,130,0.65
qwen,gsm_ic,self_consistency,multi_hop,4,0.02
qwen,gsm_ic,self_consistency,off_topic,49,0.245
qwen,gsm_ic,self_consistency,confidently_wrong,11,0.055
qwen,gsm_ic,self_consistency,format_correct_wrong_answer,3,0.015
qwen,gsm_ic,self_consistency,negation,2,0.01
qwen,gsm_ic,self_consistency,distractor,1,0.005
qwen,bigbench_hard,zero_shot_baseline,correct,114,0.57
qwen,bigbench_hard,zero_shot_baseline,drifting,32,0.16
qwen,bigbench_hard,zero_shot_baseline,format_correct_wrong_answer,40,0.2
qwen,bigbench_hard,zero_shot_baseline,hallucination,11,0.055
qwen,bigbench_hard,zero_shot_baseline,off_topic,3,0.015
qwen,bigbench_hard,zero_shot,correct,112,0.56
qwen,bigbench_hard,zero_shot,drifting,41,0.205
qwen,bigbench_hard,zero_shot,format_correct_wrong_answer,41,0.205
qwen,bigbench_hard,zero_shot,hallucination,3,0.015
qwen,bigbench_hard,zero_shot,off_topic,3,0.015
qwen,bigbench_hard,targeted_few_shot_answer_only,correct,119,0.595
qwen,bigbench_hard,targeted_few_shot_answer_only,format_correct_wrong_answer,19,0.095
qwen,bigbench_hard,targeted_few_shot_answer_only,drifting,57,0.285
qwen,bigbench_hard,targeted_few_shot_answer_only,hallucination,2,0.01
qwen,bigbench_hard,targeted_few_shot_answer_only,off_topic,3,0.015
qwen,bigbench_hard,random_few_shot,correct,132,0.66
qwen,bigbench_hard,random_few_shot,drifting,34,0.17
qwen,bigbench_hard,random_few_shot,format_correct_wrong_answer,30,0.15
qwen,bigbench_hard,random_few_shot,hallucination,3,0.015
qwen,bigbench_hard,random_few_shot,off_topic,1,0.005
qwen,bigbench_hard,targeted_few_shot,correct,135,0.675
qwen,bigbench_hard,targeted_few_shot,drifting,50,0.25
qwen,bigbench_hard,targeted_few_shot,hallucination,8,0.04
qwen,bigbench_hard,targeted_few_shot,format_correct_wrong_answer,7,0.035
qwen,bigbench_hard,targeted_few_shot_k5,correct,144,0.72
qwen,bigbench_hard,targeted_few_shot_k5,format_correct_wrong_answer,8,0.04
qwen,bigbench_hard,targeted_few_shot_k5,hallucination,7,0.035
qwen,bigbench_hard,targeted_few_shot_k5,drifting,39,0.195
qwen,bigbench_hard,targeted_few_shot_k5,off_topic,2,0.01
qwen,bigbench_hard,error_targeted_icl,correct,122,0.61
qwen,bigbench_hard,error_targeted_icl,drifting,60,0.3
qwen,bigbench_hard,error_targeted_icl,format_correct_wrong_answer,16,0.08
qwen,bigbench_hard,error_targeted_icl,hallucination,1,0.005
qwen,bigbench_hard,error_targeted_icl,off_topic,1,0.005
qwen,bigbench_hard,error_targeted_icl_random,correct,107,0.535
qwen,bigbench_hard,error_targeted_icl_random,format_correct_wrong_answer,24,0.12
qwen,bigbench_hard,error_targeted_icl_random,drifting,62,0.31
qwen,bigbench_hard,error_targeted_icl_random,off_topic,3,0.015
qwen,bigbench_hard,error_targeted_icl_random,hallucination,4,0.02
qwen,bigbench_hard,error_targeted_icl_correct_only,correct,118,0.59
qwen,bigbench_hard,error_targeted_icl_correct_only,drifting,64,0.32
qwen,bigbench_hard,error_targeted_icl_correct_only,format_correct_wrong_answer,12,0.06
qwen,bigbench_hard,error_targeted_icl_correct_only,hallucination,6,0.03
qwen,bigbench_hard,self_consistency,correct,148,0.74
qwen,bigbench_hard,self_consistency,off_topic,48,0.24
qwen,bigbench_hard,self_consistency,premise_order_sensitivity,2,0.01
qwen,bigbench_hard,self_consistency,multi_hop,2,0.01
qwen,bigbench_hard_tracking,zero_shot_baseline,correct,161,0.805
qwen,bigbench_hard_tracking,zero_shot_baseline,drifting,33,0.165
qwen,bigbench_hard_tracking,zero_shot_baseline,format_correct_wrong_answer,6,0.03
qwen,bigbench_hard_tracking,zero_shot,drifting,54,0.27
qwen,bigbench_hard_tracking,zero_shot,correct,125,0.625
qwen,bigbench_hard_tracking,zero_shot,format_correct_wrong_answer,21,0.105
qwen,bigbench_hard_tracking,targeted_few_shot_answer_only,drifting,53,0.265
qwen,bigbench_hard_tracking,targeted_few_shot_answer_only,correct,144,0.72
qwen,bigbench_hard_tracking,targeted_few_shot_answer_only,hallucination,1,0.005
qwen,bigbench_hard_tracking,targeted_few_shot_answer_only,format_correct_wrong_answer,2,0.01
qwen,bigbench_hard_tracking,random_few_shot,correct,161,0.805
qwen,bigbench_hard_tracking,random_few_shot,drifting,39,0.195
qwen,bigbench_hard_tracking,targeted_few_shot,drifting,72,0.36
qwen,bigbench_hard_tracking,targeted_few_shot,correct,126,0.63
qwen,bigbench_hard_tracking,targeted_few_shot,format_correct_wrong_answer,2,0.01
qwen,bigbench_hard_tracking,targeted_few_shot_k5,drifting,65,0.325
qwen,bigbench_hard_tracking,targeted_few_shot_k5,correct,134,0.67
qwen,bigbench_hard_tracking,targeted_few_shot_k5,format_correct_wrong_answer,1,0.005
qwen,bigbench_hard_tracking,error_targeted_icl,drifting,38,0.19
qwen,bigbench_hard_tracking,error_targeted_icl,correct,153,0.765
qwen,bigbench_hard_tracking,error_targeted_icl,format_correct_wrong_answer,9,0.045
qwen,bigbench_hard_tracking,error_targeted_icl_random,drifting,49,0.245
qwen,bigbench_hard_tracking,error_targeted_icl_random,correct,144,0.72
qwen,bigbench_hard_tracking,error_targeted_icl_random,off_topic,1,0.005
qwen,bigbench_hard_tracking,error_targeted_icl_random,format_correct_wrong_answer,6,0.03
qwen,bigbench_hard_tracking,error_targeted_icl_correct_only,drifting,70,0.35
qwen,bigbench_hard_tracking,error_targeted_icl_correct_only,correct,129,0.645
qwen,bigbench_hard_tracking,error_targeted_icl_correct_only,format_correct_wrong_answer,1,0.005
qwen,bigbench_hard_tracking,self_consistency,off_topic,62,0.31
qwen,bigbench_hard_tracking,self_consistency,correct,137,0.685
qwen,bigbench_hard_tracking,self_consistency,confidently_wrong,1,0.005
qwen,gsm8k,zero_shot_baseline,drifting,24,0.12
qwen,gsm8k,zero_shot_baseline,multi_hop,25,0.125
qwen,gsm8k,zero_shot_baseline,format_correct_wrong_answer,36,0.18
qwen,gsm8k,zero_shot_baseline,correct,72,0.36
qwen,gsm8k,zero_shot_baseline,negation,7,0.035
qwen,gsm8k,zero_shot_baseline,confidently_wrong,33,0.165
qwen,gsm8k,zero_shot_baseline,hallucination,1,0.005
qwen,gsm8k,zero_shot_baseline,arithmetic_slip,1,0.005
qwen,gsm8k,zero_shot_baseline,distractor,1,0.005
qwen,gsm8k,zero_shot,correct,120,0.6
qwen,gsm8k,zero_shot,format_correct_wrong_answer,73,0.365
qwen,gsm8k,zero_shot,drifting,4,0.02
qwen,gsm8k,zero_shot,arithmetic_slip,2,0.01
qwen,gsm8k,zero_shot,negation,1,0.005
qwen,gsm8k,targeted_few_shot_answer_only,correct,169,0.845
qwen,gsm8k,targeted_few_shot_answer_only,format_correct_wrong_answer,20,0.1
qwen,gsm8k,targeted_few_shot_answer_only,off_topic,6,0.03
qwen,gsm8k,targeted_few_shot_answer_only,arithmetic_slip,2,0.01
qwen,gsm8k,targeted_few_shot_answer_only,drifting,3,0.015
qwen,gsm8k,random_few_shot,correct,190,0.95
qwen,gsm8k,random_few_shot,drifting,4,0.02
qwen,gsm8k,random_few_shot,format_correct_wrong_answer,4,0.02
qwen,gsm8k,random_few_shot,negation,1,0.005
qwen,gsm8k,random_few_shot,arithmetic_slip,1,0.005
qwen,gsm8k,targeted_few_shot,correct,148,0.74
qwen,gsm8k,targeted_few_shot,format_correct_wrong_answer,42,0.21
qwen,gsm8k,targeted_few_shot,drifting,6,0.03
qwen,gsm8k,targeted_few_shot,distractor,3,0.015
qwen,gsm8k,targeted_few_shot,arithmetic_slip,1,0.005
qwen,gsm8k,targeted_few_shot_k5,correct,152,0.76
qwen,gsm8k,targeted_few_shot_k5,format_correct_wrong_answer,38,0.19
qwen,gsm8k,targeted_few_shot_k5,hallucination,1,0.005
qwen,gsm8k,targeted_few_shot_k5,arithmetic_slip,3,0.015
qwen,gsm8k,targeted_few_shot_k5,drifting,3,0.015
qwen,gsm8k,targeted_few_shot_k5,distractor,2,0.01
qwen,gsm8k,targeted_few_shot_k5,negation,1,0.005
qwen,gsm8k,error_targeted_icl,correct,183,0.915
qwen,gsm8k,error_targeted_icl,format_correct_wrong_answer,10,0.05
qwen,gsm8k,error_targeted_icl,drifting,6,0.03
qwen,gsm8k,error_targeted_icl,arithmetic_slip,1,0.005
qwen,gsm8k,error_targeted_icl_random,correct,187,0.935
qwen,gsm8k,error_targeted_icl_random,format_correct_wrong_answer,6,0.03
qwen,gsm8k,error_targeted_icl_random,arithmetic_slip,2,0.01
qwen,gsm8k,error_targeted_icl_random,drifting,5,0.025
qwen,gsm8k,error_targeted_icl_correct_only,correct,185,0.925
qwen,gsm8k,error_targeted_icl_correct_only,format_correct_wrong_answer,9,0.045
qwen,gsm8k,error_targeted_icl_correct_only,drifting,3,0.015
qwen,gsm8k,error_targeted_icl_correct_only,arithmetic_slip,2,0.01
qwen,gsm8k,error_targeted_icl_correct_only,hallucination,1,0.005
qwen,gsm8k,self_consistency,off_topic,48,0.24
qwen,gsm8k,self_consistency,correct,131,0.655
qwen,gsm8k,self_consistency,confidently_wrong,6,0.03
qwen,gsm8k,self_consistency,multi_hop,8,0.04
qwen,gsm8k,self_consistency,negation,1,0.005
qwen,gsm8k,self_consistency,format_correct_wrong_answer,5,0.025
qwen,gsm8k,self_consistency,distractor,1,0.005
qwen,folio,zero_shot_baseline,correct,133,0.726775956284153
qwen,folio,zero_shot_baseline,hallucination,8,0.04371584699453552
qwen,folio,zero_shot_baseline,off_topic,5,0.0273224043715847
qwen,folio,zero_shot_baseline,negation,6,0.03278688524590164
qwen,folio,zero_shot_baseline,format_correct_wrong_answer,19,0.10382513661202186
qwen,folio,zero_shot_baseline,distractor,3,0.01639344262295082
qwen,folio,zero_shot_baseline,drifting,9,0.04918032786885246
qwen,folio,zero_shot,correct,125,0.6830601092896175
qwen,folio,zero_shot,hallucination,12,0.06557377049180328
qwen,folio,zero_shot,format_correct_wrong_answer,14,0.07650273224043716
qwen,folio,zero_shot,distractor,8,0.04371584699453552
qwen,folio,zero_shot,negation,10,0.0546448087431694
qwen,folio,zero_shot,drifting,14,0.07650273224043716
qwen,folio,targeted_few_shot_answer_only,correct,124,0.6775956284153005
qwen,folio,targeted_few_shot_answer_only,hallucination,4,0.02185792349726776
qwen,folio,targeted_few_shot_answer_only,premise_order_sensitivity,10,0.0546448087431694
qwen,folio,targeted_few_shot_answer_only,off_topic,3,0.01639344262295082
qwen,folio,targeted_few_shot_answer_only,negation,9,0.04918032786885246
qwen,folio,targeted_few_shot_answer_only,format_correct_wrong_answer,15,0.08196721311475409
qwen,folio,targeted_few_shot_answer_only,distractor,5,0.0273224043715847
qwen,folio,targeted_few_shot_answer_only,drifting,12,0.06557377049180328
qwen,folio,targeted_few_shot_answer_only,multi_hop,1,0.00546448087431694
qwen,folio,random_few_shot,correct,131,0.7158469945355191
qwen,folio,random_few_shot,drifting,10,0.0546448087431694
qwen,folio,random_few_shot,distractor,9,0.04918032786885246
qwen,folio,random_few_shot,negation,10,0.0546448087431694
qwen,folio,random_few_shot,hallucination,14,0.07650273224043716
qwen,folio,random_few_shot,format_correct_wrong_answer,7,0.03825136612021858
qwen,folio,random_few_shot,off_topic,2,0.01092896174863388
qwen,folio,targeted_few_shot,correct,130,0.7103825136612022
qwen,folio,targeted_few_shot,hallucination,5,0.0273224043715847
qwen,folio,targeted_few_shot,format_correct_wrong_answer,19,0.10382513661202186
qwen,folio,targeted_few_shot,negation,15,0.08196721311475409
qwen,folio,targeted_few_shot,distractor,6,0.03278688524590164
qwen,folio,targeted_few_shot,drifting,7,0.03825136612021858
qwen,folio,targeted_few_shot,off_topic,1,0.00546448087431694
qwen,folio,targeted_few_shot_k5,correct,131,0.7158469945355191
qwen,folio,targeted_few_shot_k5,drifting,10,0.0546448087431694
qwen,folio,targeted_few_shot_k5,format_correct_wrong_answer,18,0.09836065573770492
qwen,folio,targeted_few_shot_k5,negation,9,0.04918032786885246
qwen,folio,targeted_few_shot_k5,distractor,7,0.03825136612021858
qwen,folio,targeted_few_shot_k5,hallucination,7,0.03825136612021858
qwen,folio,targeted_few_shot_k5,off_topic,1,0.00546448087431694
qwen,folio,error_targeted_icl,correct,133,0.726775956284153
qwen,folio,error_targeted_icl,drifting,6,0.03278688524590164
qwen,folio,error_targeted_icl,distractor,5,0.0273224043715847
qwen,folio,error_targeted_icl,format_correct_wrong_answer,32,0.17486338797814208
qwen,folio,error_targeted_icl,negation,5,0.0273224043715847
qwen,folio,error_targeted_icl,hallucination,1,0.00546448087431694
qwen,folio,error_targeted_icl,off_topic,1,0.00546448087431694
qwen,folio,error_targeted_icl_random,correct,135,0.7377049180327869
qwen,folio,error_targeted_icl_random,hallucination,5,0.0273224043715847
qwen,folio,error_targeted_icl_random,format_correct_wrong_answer,30,0.16393442622950818
qwen,folio,error_targeted_icl_random,drifting,6,0.03278688524590164
qwen,folio,error_targeted_icl_random,negation,4,0.02185792349726776
qwen,folio,error_targeted_icl_random,distractor,3,0.01639344262295082
qwen,folio,error_targeted_icl_correct_only,correct,134,0.73224043715847
qwen,folio,error_targeted_icl_correct_only,drifting,12,0.06557377049180328
qwen,folio,error_targeted_icl_correct_only,distractor,5,0.0273224043715847
qwen,folio,error_targeted_icl_correct_only,negation,9,0.04918032786885246
qwen,folio,error_targeted_icl_correct_only,format_correct_wrong_answer,14,0.07650273224043716
qwen,folio,error_targeted_icl_correct_only,hallucination,7,0.03825136612021858
qwen,folio,error_targeted_icl_correct_only,off_topic,2,0.01092896174863388
qwen,folio,self_consistency,correct,126,0.6885245901639344
qwen,folio,self_consistency,off_topic,57,0.3114754098360656
gemma,gsm_symbolic,zero_shot_baseline,correct,53,0.265
gemma,gsm_symbolic,zero_shot_baseline,drifting,30,0.15
gemma,gsm_symbolic,zero_shot_baseline,distractor,4,0.02
gemma,gsm_symbolic,zero_shot_baseline,arithmetic_slip,89,0.445
gemma,gsm_symbolic,zero_shot_baseline,format_correct_wrong_answer,23,0.115
gemma,gsm_symbolic,zero_shot_baseline,hallucination,1,0.005
gemma,gsm_symbolic,zero_shot,correct,37,0.185
gemma,gsm_symbolic,zero_shot,format_correct_wrong_answer,44,0.22
gemma,gsm_symbolic,zero_shot,distractor,6,0.03
gemma,gsm_symbolic,zero_shot,drifting,70,0.35
gemma,gsm_symbolic,zero_shot,arithmetic_slip,40,0.2
gemma,gsm_symbolic,zero_shot,hallucination,3,0.015
gemma,gsm_symbolic,targeted_few_shot_answer_only,correct,21,0.105
gemma,gsm_symbolic,targeted_few_shot_answer_only,arithmetic_slip,46,0.23
gemma,gsm_symbolic,targeted_few_shot_answer_only,format_correct_wrong_answer,53,0.265
gemma,gsm_symbolic,targeted_few_shot_answer_only,confidently_wrong,4,0.02
gemma,gsm_symbolic,targeted_few_shot_answer_only,drifting,74,0.37
gemma,gsm_symbolic,targeted_few_shot_answer_only,multi_hop,2,0.01
gemma,gsm_symbolic,random_few_shot,format_correct_wrong_answer,46,0.23
gemma,gsm_symbolic,random_few_shot,drifting,85,0.425
gemma,gsm_symbolic,random_few_shot,correct,9,0.045
gemma,gsm_symbolic,random_few_shot,arithmetic_slip,55,0.275
gemma,gsm_symbolic,random_few_shot,distractor,4,0.02
gemma,gsm_symbolic,random_few_shot,hallucination,1,0.005
gemma,gsm_symbolic,targeted_few_shot,distractor,3,0.015
gemma,gsm_symbolic,targeted_few_shot,format_correct_wrong_answer,53,0.265
gemma,gsm_symbolic,targeted_few_shot,correct,20,0.1
gemma,gsm_symbolic,targeted_few_shot,drifting,66,0.33
gemma,gsm_symbolic,targeted_few_shot,arithmetic_slip,56,0.28
