family,benchmark,baseline_condition,condition,js_divergence
qwen,bigbench_hard,zero_shot_baseline,targeted_few_shot,0.06489672128093703
qwen,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,0.03917924325777362
qwen,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,0.05152855999031685
qwen,bigbench_hard,zero_shot_baseline,zero_shot,0.010824447300121484
qwen,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl,0.002092473011227354
qwen,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl_correct_only,0.03803962649187731
qwen,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl_random,0.009875961521529577
qwen,bigbench_hard_tracking,zero_shot_baseline,random_few_shot,0.015902730926525423
qwen,bigbench_hard_tracking,zero_shot_baseline,self_consistency,0.25848948411080325
qwen,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot,0.03825050368394983
qwen,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot_answer_only,0.016449142043613897
qwen,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot_k5,0.03080180239147906
qwen,bigbench_hard_tracking,zero_shot_baseline,zero_shot,0.03334193970419744
qwen,folio,zero_shot_baseline,error_targeted_icl,0.026921878430449873
qwen,folio,zero_shot_baseline,error_targeted_icl_correct_only,0.007289746314749841
qwen,folio,zero_shot_baseline,error_targeted_icl_random,0.02196033885276429
qwen,folio,zero_shot_baseline,random_few_shot,0.02553807414079845
qwen,folio,zero_shot_baseline,self_consistency,0.22420952953462034
qwen,folio,zero_shot_baseline,targeted_few_shot,0.01753849743494169
qwen,folio,zero_shot_baseline,targeted_few_shot_answer_only,0.03831447684386839
qwen,folio,zero_shot_baseline,targeted_few_shot_k5,0.010489710801190634
qwen,folio,zero_shot_baseline,zero_shot,0.026035808809730915
qwen,gsm8k,zero_shot_baseline,error_targeted_icl,0.3066060807159274
qwen,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,0.3231625858637508
qwen,gsm8k,zero_shot_baseline,error_targeted_icl_random,0.3307816625561022
qwen,gsm8k,zero_shot_baseline,random_few_shot,0.34018790548610356
qwen,gsm8k,zero_shot_baseline,self_consistency,0.32686027030287734
qwen,gsm8k,zero_shot_baseline,targeted_few_shot,0.23691216158606077
qwen,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,0.29744504644363406
qwen,gsm8k,zero_shot_baseline,targeted_few_shot_k5,0.24293646382016532
qwen,gsm8k,zero_shot_baseline,zero_shot,0.2333020800995522
qwen,gsm_ic,zero_shot_baseline,error_targeted_icl,0.2855868056424357
qwen,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,0.29197847234591034
qwen,gsm_ic,zero_shot_baseline,error_targeted_icl_random,0.27353593994363307
qwen,gsm_ic,zero_shot_baseline,random_few_shot,0.3665324536813184
qwen,gsm_ic,zero_shot_baseline,self_consistency,0.3612424245689523
qwen,gsm_ic,zero_shot_baseline,targeted_few_shot,0.20402347859396383
qwen,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,0.2566398414859947
qwen,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,0.20540574026371766
qwen,gsm_ic,zero_shot_baseline,zero_shot,0.18494100135459637
qwen,gsm_plus,zero_shot_baseline,error_targeted_icl,0.04313967232008514
qwen,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,0.043410266018411234
qwen,gsm_plus,zero_shot_baseline,error_targeted_icl_random,0.03520118668070546
qwen,gsm_plus,zero_shot_baseline,random_few_shot,0.060506689717394965
qwen,gsm_plus,zero_shot_baseline,self_consistency,0.4178496943353652
qwen,gsm_plus,zero_shot_baseline,targeted_few_shot,0.012530587637191146
qwen,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,0.02623635065839526
qwen,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,0.008425817761132968
qwen,gsm_plus,zero_shot_baseline,zero_shot,0.01357001889454566
qwen,gsm_symbolic,zero_shot_baseline,error_targeted_icl,0.04577639214819375
qwen,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,0.04746110516518956
qwen,gsm_symbolic,zero_shot_baseline,error_targeted_icl_random,0.02477876119897511
qwen,gsm_symbolic,zero_shot_baseline,random_few_shot,0.040942893696019625
qwen,gsm_symbolic,zero_shot_baseline,self_consistency,0.24181599453707803
qwen,gsm_symbolic,zero_shot_baseline,targeted_few_shot,0.01901913425861044
qwen,gsm_symbolic,zero_shot_baseline,targeted_few_shot_answer_only,0.049110625734813985
qwen,gsm_symbolic,zero_shot_baseline,targeted_few_shot_k5,0.0611044025861584
qwen,gsm_symbolic,zero_shot_baseline,zero_shot,0.09394483559722255
